"name";"instance";"filename";"n";"m";"inkratio";"mean_occupation_area";"edge_density_distribution";"distortion";"frechet";"directionality";"monotonicity";"projected_monotonicity";"SL_angle";"self_intersections";"mean_edge_length_difference";"directionality_mag";"ambiguity_1";"accuracy_1";"precision_1";"specificity_1";"FPR_1";"ambiguity_2";"accuracy_2";"precision_2";"specificity_2";"FPR_2";"ambiguity_3";"accuracy_3";"precision_3";"specificity_3";"FPR_3";"ambiguity_4";"accuracy_4";"precision_4";"specificity_4";"FPR_4";"ambiguity_5";"accuracy_5";"precision_5";"specificity_5";"FPR_5";"inkratio_t";"ambiguity_t";"mean_occupation_area_t";"edge_density_distribution_t";"distortion_t";"frechet_t";"directionality_t";"monotonicity_t";"projected_monotonicity_t";"SL_angle_t";"self_intersections_t";"mean_edge_length_difference_t";"directionality_mag_t"
"cubu";"geo_Africa_airports";"dashboard/output_dashboard/geo_Africa_airports/cubu.json";252;637;0.5542;6.7802;0.0795;1.0709;29.0486;0.2811;0.1258;0.0002;0.4906;0.4906;14.4468;13.8769;0.513;0.0516;1;0.8135;0;0.8981;0.0253;0.5737;0.1628;0.0277;0.989;0.0208;0.5169;0.0172;0.0325;1;0.0201;0.513;0;0.0332;1;0.0201;0.513;0;0.0332;437.9787;39503.8056;91.5701;99.8745;6.4726;438.0572;8.2118;27.6654;10.3786;1.2569;0;6.1159;42.4612
"epb";"geo_Africa_airports";"dashboard/output_dashboard/geo_Africa_airports/epb.json";252;637;0.6935;7.54;0.0985;1.0608;39.6223;0.0079;0.0017;0.0013;0.4906;0;30.004;0.9794;0.6582;0.0424;1;0.6389;0;0.9454;0.0225;0.6951;0.0929;0.0211;0.9968;0.0202;0.6595;0.0046;0.0236;1;0.0201;0.6582;0;0.0236;1;0.0201;0.6582;0;0.0236;422.1563;37957.3555;95.685;108.7227;4.5764;2459.547;9.8329;18.2931;8.6524;1.2641;674.3391;4.4932;113.1318
"fd";"geo_Africa_airports";"dashboard/output_dashboard/geo_Africa_airports/fd.json";252;637;0.9281;11.2386;0.1236;1.0031;6.7658;0.2803;0.1314;0.0062;0.4906;0;0.7582;0.2054;0.8235;0.0261;1;0.5079;0;0.9502;0.0213;0.8667;0.125;0.0051;0.9939;0.0203;0.8291;0.0165;0.0062;0.9959;0.0202;0.8275;0.0098;0.0062;1;0.0201;0.8235;0;0.0064;408.0684;36107.4908;104.7454;122.9889;16.4151;8423.9805;15.1794;39.2556;18.5154;1.2658;1621.6667;8.2631;297.7915
"sepb";"geo_Africa_airports";"dashboard/output_dashboard/geo_Africa_airports/sepb.json";252;637;0.6866;7.394;0.0978;1.0665;40.4899;0.0091;0.0017;0.0013;0.4906;0;32.7148;1.0509;0.6693;0.044;1;0.5952;0;0.95;0.0224;0.7053;0.0866;0.0229;0.9933;0.0204;0.6717;0.0091;0.025;1;0.0201;0.6693;0;0.0253;1;0.0201;0.6693;0;0.0253;416.6508;38380.2502;94.2001;102.3929;4.4482;2314.0676;9.589;17.4294;8.1072;1.2596;699.0686;4.127;105.6843
"wr";"geo_Africa_airports";"dashboard/output_dashboard/geo_Africa_airports/wr.json";252;637;0.5992;7.8038;0.0845;1.0612;29.4253;0.0366;0.0018;0.0012;0.4906;0;17.1097;1.9832;0.6552;0.0436;1;0.6429;0;0.9316;0.0238;0.693;0.1109;0.021;0.987;0.0207;0.6607;0.0188;0.0242;0.9975;0.0201;0.6574;0.0048;0.0249;1;0.0201;0.6552;0;0.0249;403.4219;40172.0042;91.9478;124.8853;8.0583;4684.2139;12.8849;33.3238;15.4767;1.2612;1301.0807;7.9732;214.6876
"cubu";"geo_Brazil_airports";"dashboard/output_dashboard/geo_Brazil_airports/cubu.json";122;365;0.5339;6.8;0.0546;1.0643;30.1806;0.3244;0.1531;0;0.5;0.5;15.4951;10.9388;0.5288;0.1254;1;0.7623;0;0.9605;0.054;0.5445;0.0604;0.0804;1;0.0491;0.5288;0;0.086;1;0.0491;0.5288;0;0.086;1;0.0491;0.5288;0;0.086;247.0698;21317.9853;75.1264;91.1017;5.0569;310.8966;5.7645;18.1889;6.6206;0.7598;0;3.8779;32.3379
"epb";"geo_Brazil_airports";"dashboard/output_dashboard/geo_Brazil_airports/epb.json";122;365;0.6484;7.3644;0.066;1.0604;34.3292;0.0067;0.0019;0.0015;0.5;0;25.9371;1.0058;0.6044;0.1098;1;0.6885;0;0.9566;0.0528;0.6334;0.0711;0.0647;1;0.0491;0.6044;0;0.069;1;0.0491;0.6044;0;0.069;1;0.0491;0.6044;0;0.069;307.8785;19.944;76.5817;81.496;2.814;1518.5094;5.7473;11.7917;5.2817;0.7241;474.4189;2.6591;70.8957
"fd";"geo_Brazil_airports";"dashboard/output_dashboard/geo_Brazil_airports/fd.json";122;365;0.8983;10.5342;0.088;1.0041;9.4032;0.2468;0.1138;0.0055;0.5;0;1.3317;0.2731;0.7685;0.0728;1;0.5738;0;0.953;0.0523;0.8075;0.0956;0.0234;1;0.0491;0.7685;0;0.0271;1;0.0491;0.7685;0;0.0271;1;0.0491;0.7685;0;0.0271;288.9097;16755.5823;74.3277;92.0699;4.7879;4789.3827;8.5418;21.5931;10.4196;0.7238;901.5131;4.7674;161.9945
"sepb";"geo_Brazil_airports";"dashboard/output_dashboard/geo_Brazil_airports/sepb.json";122;365;0.6406;7.2932;0.0653;1.0601;34.6236;0.0076;0.0019;0.0015;0.5;0;26.1766;1.0368;0.5934;0.113;1;0.6885;0;0.9573;0.0528;0.6217;0.0696;0.0685;1;0.0491;0.5934;0;0.0728;1;0.0491;0.5934;0;0.0728;1;0.0491;0.5934;0;0.0728;258.6806;18549.2072;74.1651;80.5671;2.7955;1510.8082;5.8191;11.9097;5.5738;0.7377;403.0902;2.6941;68.3341
"wr";"geo_Brazil_airports";"dashboard/output_dashboard/geo_Brazil_airports/wr.json";122;365;0.589;8.0794;0.0593;1.0622;26.2776;0.0377;0.0031;0.0023;0.5;0;13.4263;2.0593;0.629;0.0993;1;0.6803;0;0.9541;0.054;0.6534;0.0702;0.0513;1;0.0491;0.629;0;0.0569;1;0.0491;0.629;0;0.0569;1;0.0491;0.629;0;0.0569;282.2535;18246.1822;73.7176;79.8557;4.3697;2738.8067;7.9546;23.8442;9.2971;0.7591;762.2085;4.7326;126.5338
"cubu";"geo_Canada_airports";"dashboard/output_dashboard/geo_Canada_airports/cubu.json";201;426;0.6342;4.6221;0.0815;1.0643;13.7482;0.2595;0.117;0.0022;0.5844;0.5844;6.1456;13.4393;0.6691;0.0433;1;0.6468;0;0.9399;0.0246;0.7068;0.1156;0.0196;0.994;0.0214;0.6726;0.0132;0.0229;1;0.0211;0.6691;0;0.0232;1;0.0211;0.6691;0;0.0232;272.943;9174.5937;35.713;38.0063;4.0846;190.872;5.4219;18.564;6.8748;0.8805;0;4.617;22.8352
"epb";"geo_Canada_airports";"dashboard/output_dashboard/geo_Canada_airports/epb.json";201;426;0.7066;4.7277;0.0905;1.038;11.7617;0.0068;0.0017;0.0014;0.5844;0.0001;7.6276;0.756;0.6536;0.048;1;0.6368;0;0.9279;0.0258;0.7026;0.1384;0.0234;0.9907;0.0214;0.66;0.0193;0.028;1;0.0211;0.6536;0;0.0284;1;0.0211;0.6536;0;0.0284;294.2989;9361.1367;35.8827;37.997;2.7804;1477.1986;6.4433;11.1804;5.2144;0.8445;481.3423;2.697;67.0719
"fd";"geo_Canada_airports";"dashboard/output_dashboard/geo_Canada_airports/fd.json";201;426;0.8745;5.8732;0.1083;1.0028;3.4368;0.3491;0.1781;0.0065;0.5844;0;0.398;0.2008;0.8293;0.0296;1;0.4428;0;0.9757;0.0219;0.8507;0.0687;0.008;0.9982;0.0211;0.831;0.0053;0.0088;1;0.0211;0.8293;0;0.0089;1;0.0211;0.8293;0;0.0089;267.1459;8824.5995;35.9359;38.2233;5.5523;5500.1907;10.0417;26.0036;12.9745;0.8566;1018.2886;5.5873;189.6911
"sepb";"geo_Canada_airports";"dashboard/output_dashboard/geo_Canada_airports/sepb.json";201;426;0.711;4.7864;0.091;1.036;10.8688;0.007;0.0019;0.0014;0.5844;0;7.2742;0.7269;0.6706;0.0478;1;0.5871;0;0.9354;0.0256;0.7128;0.1176;0.0235;0.9909;0.0214;0.6768;0.0184;0.0278;1;0.0211;0.6706;0;0.0282;1;0.0211;0.6706;0;0.0282;283.1526;9441.9329;35.6693;37.9376;2.5234;1306.0362;6.2096;9.8593;4.6952;0.849;432.1399;2.4247;58.6824
"wr";"geo_Canada_airports";"dashboard/output_dashboard/geo_Canada_airports/wr.json";201;426;0.7202;5.2746;0.0905;1.0783;14.5809;0.0248;0.0005;0.0003;0.5844;0;7.2411;1.7024;0.7173;0.0402;1;0.5622;0;0.9553;0.0234;0.7473;0.0916;0.0176;0.9992;0.0211;0.7175;0.0012;0.02;1;0.0211;0.7173;0;0.02;1;0.0211;0.7173;0;0.02;299.2358;9529.3479;35.7909;38.3253;5.2323;3103.4713;8.631;22.9218;10.4964;0.8528;922.0715;5.2218;141.1307
